,Sample_ID,Species,Sample_type,Location,Li_6,Li_7,Be,B,Mg,Al,Si,P,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Er,Yb,Lu,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Ca,Pr
1,A1,AN,faeces,AN,0.1,6.1,0.9,40.4,614778.4,4551.7,11,1584.8,58.8,520.2,0,50.2,3548.1,37953.1,15.1,7.7,141447.7,155437.8,645.1,8854.6,152.3,2342.2,245.3,0.3,2.6,12.2,413.1,69.8,0,0,15.4,0.8,1.1,0,0,17.4,0.6,0.5,0,0,18191.5,2.7,1,20.3,67.8,37.7,23.5,0.2,4.5,4.1,NA,NA
2,A2,AN,faeces,AN,13,326.2,6.5,1553.8,911176.1,199840.6,207.7,1557.2,114.9,19265.5,256,190.3,22881.8,475460.6,206.9,262.2,48200.8,594676.1,822.5,6213.7,132.2,6746.2,517.9,0.2,1.1,15.7,118.3,163.7,0.3,15.4,10.6,1.7,12,125,0.1,132.8,9.1,7.1,0.8,0,6338,2,0.9,17.3,345.4,61,203.4,4.1,45.5,11.8,NA,NA
3,A3,AN,faeces,AN,3.2,76.9,14,247.3,3851386.9,69293.7,195.7,6248,72.1,6286.1,1477.1,62.6,7810.9,117277.3,70.1,308.7,28335.6,107494.4,531.8,3252.2,196.8,94197.3,196.2,0.6,2.7,69,207.4,702.7,0.5,1.1,11.2,8,2.5,2595.2,0.1,91.1,7.5,5.7,0.9,0,3555.8,3.4,0.7,14.8,15.6,10.7,182.2,1.7,26.1,49,NA,NA
4,A4,AN,faeces,AN,0.7,23.5,1.3,107.8,7241048,31237.6,457.9,12283.1,81.3,3078.1,1187.7,36.8,2320.3,46288.6,50.4,504.2,24814.5,32769.6,383.8,3345.5,25.1,383520.4,116.5,1.4,10.3,216.1,709.9,592.7,0,4,19.6,39.4,0.8,6389.5,0,17.1,1.4,1,0.2,0,3330.8,3.6,0.1,9.6,16.7,12.8,27,0.7,27.1,65.8,NA,NA
5,A5,AN,faeces,AN,1.1,28,1,2151.5,483838.9,22272.5,25.4,1003.3,39.9,2179.1,1869.2,49.5,4849.4,97973.6,30,40,305274.9,234177,877.6,11253.3,75.5,3910,403.4,0.1,5.3,21.2,1097.7,629.8,0,8.8,25.7,4.4,1.1,0,0,8.6,0.6,0.6,0.2,0,1865.6,0.9,0.4,10.8,147.5,128.2,14.2,0.1,8.7,10.6,NA,NA
6,18JFFS5,JF,faeces,JF,1.8,54.9,4,4305.3,17230556.4,88460.7,139.4,40473.7,124.3,16551.4,3393.3,241,24322.6,370015.6,1302.6,1254.5,196770.4,383916,1758.8,12341.9,1272.8,314251.8,220.9,1.1,14.6,212.8,878.5,124951.3,0.1,2,4.9,29.2,4.2,7195.1,0.1,190.3,4.8,4.3,0.5,0,1654.4,0.8,0.9,18.7,402.7,34.3,45,0.1,17.8,124.8,NA,NA
7,18JFFS6,JF,faeces,JF,1.7,45.5,13.4,3944.4,22250298,289404.4,227.6,8611.4,213.2,184603.7,10615.1,2016.2,23884.6,1272999.6,438.6,792.3,123500.2,1222126.3,2496.9,38883.7,515.9,30906.6,628.8,0.3,3.3,43.2,71,33145,0.9,13.9,12.4,6.3,6.4,2758.6,0.4,1327.6,19.3,15.3,1.7,0.1,1225,0.7,0.5,20.3,1068.1,38.7,100.9,1.2,50.9,314.9,NA,NA
8,18JFFS7,JF,faeces,JF,27.1,681.3,133.8,3913.4,8882806.6,6057959.8,1532.4,14940.1,3448.5,2272630.5,71681,27427.1,212201.7,14779382.9,6088.3,17675.2,71384.5,722064.4,3327.9,21236.6,4316.9,203388,1538.5,0.7,7.3,217.3,52.5,8761.8,14.3,281.8,25,40.9,128,57265.4,4.3,13055.8,217.6,171,21.4,0.3,696.6,0.8,0.8,32,613.3,42.2,890.9,7.5,729.4,538.8,NA,NA
9,18JFFS10,JF,faeces,JF,33.7,871.6,161,5155.5,10475166,7294974.1,1197.5,8351.9,2442.5,1008183.4,34865.3,8182.8,255764,7724371.3,4957.3,29828.4,540548.1,879916.7,2593.7,20282.9,3565.2,76355.6,623.5,0.3,10.7,200.6,869.2,7282.8,13.3,172,20.9,12.3,42,39628.8,3.3,9710.4,232,191.7,24.1,0.2,580.9,1.1,0.9,22.8,798.1,91.9,389.8,15.8,482.7,268.6,NA,NA
10,18JFFS11,JF,faeces,JF,18.6,475.5,23.7,10591.4,47583648.2,638283.1,694.4,16705.5,493.9,83939.1,12251.6,2258.2,33373.9,2033101.2,1494.1,3536.3,115634.9,835032.4,5390.6,12846.7,3402.1,339743.3,548.9,2,11.9,234.5,476,80781.4,1,26.3,22.8,38.9,15.4,5097.3,0.4,863.5,24.6,19.2,2.5,0.1,518.7,0.5,0.3,10.1,856.8,20.6,126.3,1.2,86.5,222.6,NA,NA
11,18JFFS12,JF,faeces,JF,2,50.8,1,4289.2,25424167.8,20042.7,39,8347.4,135.1,3127.7,4333.6,100.4,13481.4,324006.3,175.8,282.4,258392.5,1122832.3,2189.9,36419.8,378.4,48576.3,832.1,0.5,6.4,53.6,359.7,99267.5,0.1,10.1,13,3.2,2.2,14.7,0,43.1,1.1,0.8,0.1,0,1343.2,0.6,0.1,14.9,1145.1,41.4,64.6,3,22.1,159.1,NA,NA
12,18JFFS13,JF,faeces,JF,1.7,48.9,3.4,3400.9,17753226,58081.7,121.3,18248.8,116.4,6821.6,5899.3,166.6,9773.4,218406.9,200.8,493.5,100569.1,1600173.5,1345.1,28059.2,586.8,139130.1,1256.8,0.2,6.3,105.5,77.1,9314.1,0.1,0,8.4,18.6,4.8,264.2,0.1,104.1,2.6,2.2,0.2,0,799,0.4,0.1,14.7,1201.4,60.1,54,1.5,14,154.4,NA,NA
13,18JFFS14,JF,faeces,JF,15.2,382.5,4.7,17849.1,38811428,105285.2,148.1,12905.7,112.1,11705.3,5740.1,202.9,26839.1,335182.2,1556.1,938.4,156159.8,965373.9,2090.4,26775.1,860.8,182681.1,974,1.6,9.3,135.9,490.9,111480,0.2,0,10.5,19.6,3.2,7746.7,0.1,198.5,3.7,2.8,0.4,0,1079.2,0.5,0.3,13.3,978.4,32.7,53.2,0.8,18.2,208.9,NA,NA
14,18JFFS15,JF,faeces,JF,26.1,649.1,77.6,3520.4,17487929.7,2164594.7,895.5,9663.9,1044.3,428341.1,29089,8089.3,130127.6,6487149.9,4106.7,12034.2,123440.1,981528,2824.6,21588,2046.7,89860.8,769.8,0.2,5.4,170,215.7,15317.7,3.4,52.1,13.1,10.8,48.2,6422.8,1.6,3580,154.6,114.6,14.9,0.2,415.6,0.5,0.3,19.3,652,42.7,269.8,2.6,81,150.7,NA,NA
15,18JFFS18,JF,faeces,JF,87.8,2205.7,377.5,6684.6,43647191.8,14338920,951.6,7913.7,938.3,1938547.5,45340.5,31581.5,347527.7,18132197.6,14272.4,80284.2,231374.2,505835.2,2906,14762.3,8187.3,227372.9,1293.7,0.7,10.5,349.7,400.2,47526.3,4.9,238.4,16.9,30.2,260.2,48800.6,12.2,21242.6,353.3,262.8,34.6,0.5,317.7,0.5,0.5,20.8,518.1,31.3,812.3,3.3,1205.8,515,NA,NA
16,18JFFS19,JF,faeces,JF,1.7,43.9,3.7,1493,4658536.7,107297,101.6,1269.4,50.3,23365.7,1431.6,204.9,5549.7,166892.4,137.2,344.6,14031.9,97807.7,344.6,1750.4,144.2,21509.1,130.7,0.1,1,17.5,19.3,2899.3,0.1,4.5,1.8,2.8,1.5,454,0.1,223.3,7.3,5.8,0.8,0,60.6,0.1,0.2,1.3,89.7,3.7,13.2,0.3,9.6,31.5,NA,NA
17,18JFFS20,JF,faeces,JF,10.6,283.5,14.1,7095.7,34574061.8,278968,429.4,8312.4,250.3,57652.6,13436.5,827.1,19663,628570.1,778.9,1403.9,375096.8,933269,3165.7,17870.1,1497.6,67435.5,980.1,0.4,8.4,71.1,578.2,33541.3,0.2,19.5,16.8,6.2,9.1,1017.5,0.4,742.8,15.9,14.2,1.7,0.1,346.1,0.5,0.2,19.3,862.8,23.3,92.8,1.7,66.7,257.5,NA,NA
18,18JFFS21,JF,faeces,JF,5.2,150.7,0.8,6406.3,39136111,27469.6,62.8,10631.5,117.3,3630.8,4741.2,166.2,7634.2,157864.4,599,709.7,70269,539013.9,1704.8,12956.1,924.7,139814,608.9,0.2,6.8,99.4,382.6,282650.1,0.4,0,15.5,11.5,4.2,129.4,0,47.6,1.8,1.5,0.3,0,1161.6,0.3,0.6,7,819.3,11.8,25.2,0.2,11.9,280.1,NA,NA
19,18JFFS23,JF,faeces,JF,10.9,282.3,6.8,5402.4,19542089.5,288268.8,348.3,111592.1,203.9,48384.5,2500,454.7,22907.5,902120.5,697.1,2402.2,26221.2,264281.8,2611,5948.3,662.2,837428.7,144.4,3.2,28.1,522.3,64.8,6767,0.3,16.6,10.7,86.6,6.2,4735,0.2,362.1,14.9,10.2,1.3,0,816.2,0.3,0.3,4.6,132.1,28.2,16.5,0,34.7,108.7,NA,NA
20,SOIL3,Soil,Soil,JF,268.6,7229.1,640.2,14951.1,19256310.2,32603514.8,4552.2,9588.6,22077.2,14489957.1,195303.5,272591.5,762915.1,63192312.5,27959.7,62374.9,47411.2,106233.3,13824.6,4447.2,9270.8,507116.8,760.3,0.4,16,1603.7,654.3,689.8,67.7,1454.8,69.2,206.9,341.4,25491.8,17.2,36130.8,1734.4,1322.9,163.2,0.8,NA,6.3,5.5,141.8,18.5,NA,1183,7.1,1522.3,544.2,NA,NA
21,SOIL4,Soil,Soil,JF,253.4,6923.2,807.4,14153,26150465.8,39732883.9,4552.3,15800.5,18467.4,15508783,158221.9,511700.5,988288.2,67169863,34064.1,76110.6,55322.4,147884.7,13219.5,6994,8449.8,389330.2,927.6,0.7,12.9,1412.5,738.7,2092,68.2,1416.8,65.6,86.3,268.6,32716.2,19.8,37813.7,1729.9,1414.9,190.3,1.2,NA,6.7,NA,111.1,76.9,NA,1669.7,6.1,1383.1,590.6,NA,NA
22,SOIL8,Soil,Soil,JF,252.1,6814.1,652.9,26001.1,26594793,26640447.2,5131.8,13666.9,12265.5,8755282.3,82349.7,189895.2,661597.5,50289597,21855.1,86934.9,28599.1,71152.8,11917.4,2956.7,12618.7,580571.7,1039.4,0.8,16,764.7,606.5,773.4,40.1,907.5,63.1,61.5,294.5,67766.9,11.1,19976.7,705.6,641.3,89.3,0.6,NA,5.2,NA,68,18.7,NA,1310.8,9.9,2234.1,912.2,NA,NA
23,SOIL9,Soil,Soil,JF,329.4,9146.5,1280.2,29841.1,31590942.9,41334301.5,5171.3,9427.5,18727.5,12865986.2,119642.8,327400.2,1051894.6,66113749.3,34072.8,129792.8,36250.6,94267.3,8464,2188.3,24067.3,627060.6,1377.3,1.5,18.6,1683.3,962.9,1102.9,72.2,1273.4,63.7,107.9,549,111597.4,35.6,66379.2,1807.3,1493.8,195.9,0.8,NA,8.2,NA,3.4,19.8,NA,2874,24.2,4374.5,1191.1,NA,NA
24,SOIL10,Soil,Soil,JF,189.1,5189.3,1082.6,9516,22171088.2,83372669.5,4951.6,4706,40424.2,19804490.1,237475.8,654418.3,1813387.6,104214549.5,75120.2,358080.5,81984.7,153424.5,4652.1,2988.8,7498.9,111785.9,1279.1,8.5,5.1,1876.5,1647.1,275.7,101.7,1835.3,17.7,60.3,247.4,230262.5,29.1,65150.1,2784.4,2267.1,307.6,1.7,NA,15.3,18.2,0,7.4,NA,1688,5.3,3445.2,676,NA,NA
25,F1,LF,Whole,SPG,1.7,48.8,0,774.5,440665.4,55361.1,1.8,4508.8,8.4,27.4,NA,24.2,707.4,10901.6,13.4,90.5,2439.7,12698.9,714.1,720.5,616,19352.1,7.1,NA,0.9,26.4,13.9,126.4,NA,7.5,1.2,0.8,9.2,829.1,0,0.3,0.1,0,0,0.1,4.3,0.1,0.1,0.1,2.2,1.1,20.1,0,0,2.1,4966.8,1755.4
26,F2,LF,Whole,SPG,9.2,244,0.2,4129.3,1366246.6,80882.1,6.8,13399,15.5,100.4,NA,45.6,1058.9,20577.1,43.5,697.8,1887.2,24356.6,4083.6,1127.8,864.4,105080.1,32.1,0.3,5,99.8,94.2,364.5,NA,6.8,3.9,6.3,15.5,3254.8,0,1.7,0.2,0.1,0,0,23,0.1,0.2,0.1,10.5,14.5,47.9,0.3,0.1,17.3,24250.8,8974.2
27,F3,LF,Whole,SPG,4,111.8,NA,4415.9,1379052.9,2301550.1,10.6,9238.9,8,214.8,NA,82.4,1993.1,26805.3,19.2,400.4,2101.6,17564.8,2206.1,860.9,932.1,67074.8,23,0.2,3,73.6,37.8,161.2,0.1,12.6,2.9,3.6,14.1,2047.6,0,3.6,0.2,0,0,0,16.1,0.2,0.2,NA,5.8,5.6,60.8,0.1,0.1,15.8,14078.1,15978.1
28,F4,LF,Whole,SPG,4.4,119,NA,1258.3,562667.3,67527.4,2.2,6069,8.1,26.9,NA,53.2,1165.2,19880.3,19.2,150.7,884.3,8374,438,1577.4,557.9,42176.3,13.2,0.2,2.1,39.9,6.3,122.6,NA,8.4,0.8,2.9,16.5,120.2,0,0.2,0,0,NA,0,5,0.1,0.1,0.1,22.8,0.5,3.6,0.1,0,3.1,11374.1,1341.7
29,F5,LF,Whole,SPG,4,107.4,0.1,1209,552094.8,16241.3,1.7,5535.6,8.5,23.7,NA,181.3,1889.6,17267.7,21.1,125.9,871.9,10079.8,1023.6,2198.6,565.3,33269.4,35.9,0.1,1.6,38.1,1.8,259.1,0.1,89.7,1.6,2.5,11.9,141.9,0,0.1,0,0,NA,0,6.4,0.1,0.1,NA,6.6,0.7,3.5,0.1,0,2.8,8192.2,907.1
30,F6,LF,Whole,SPG,4.1,107.2,NA,1422.4,580141.7,2710.4,1.8,4878.8,5.3,17.5,NA,27.2,1336.4,7625.7,16.8,98.7,706,8638.3,581.6,1074.7,628.9,26557.6,6.4,0,1.3,33.3,9.3,344.7,NA,0.6,0.6,1.7,6.5,303.6,0,0.1,0,0,0,0.2,5.5,0.1,0.1,NA,2,1.1,3.8,0,0,4,7084.9,813.2
31,F7,LF,Whole,SPG,5,138.9,NA,1297.8,567736.2,17950.6,1.4,6070,6.5,23.2,NA,40.2,1147.6,13975.4,31.7,170.1,827,10857.1,1819.4,752.3,602.7,36297,9.7,0.1,1.9,42.3,9.7,226.9,NA,1.1,0.7,2.2,8.3,2256.7,0,0.2,0,0,0,0,5.9,0.1,0.1,NA,4.2,1.1,6.8,0.1,0,3.2,10078.6,1249
